SKU,Old_Photo_Name,New_Photo_Name,Category,Name,Description,Metal,Size,Price,MSRP,Cost,Notes,Status,Pricing_Visual_Description,Est_Retail_Price,Pricing_Strategy_Notes
26-NECK-001,jewelry_photo_001.jpg,26-NECK-001.jpg,Necklace,Necklace - 26-NECK-001,Statement necklace with eye-catching details. The unique design makes this piece a conversation starter while remaining timeless and elegant.,,,,,,,Active,Simple Gunmetal/Silver Bangle,$12.00 – $18.00,Basic minimalist stacker.
26-NECK-002,jewelry_photo_004.jpg,26-NECK-002.jpg,Necklace,Necklace - 26-NECK-002,"Elegant necklace featuring distinctive design and quality craftsmanship. This versatile piece adds sophistication to any outfit, perfect for both everyday wear and special occasions.",,,,,,,Active,Wide Bronze/Gold Textured Cuff,$18.00 – $28.00,"Boho style. Looks like a ""cuff"" fit."
26-NECK-003,jewelry_photo_006.jpg,26-NECK-003.jpg,Necklace,Necklace - 26-NECK-003,Classic necklace showcasing beautiful metalwork and attention to detail. A wardrobe essential that effortlessly elevates any look.,,,,,,,Active,Dark Beaded Stretch Bracelet,$12.00 – $18.00,"Easy ""add-on"" item."
26-NECK-004,jewelry_photo_012.jpg,26-NECK-004.jpg,Necklace,Necklace - 26-NECK-004,"Elegant necklace featuring distinctive design and quality craftsmanship. This versatile piece adds sophistication to any outfit, perfect for both everyday wear and special occasions.",,,,,,,Active,Delicate Silver Chain Bracelet,$15.00 – $22.00,Very dainty. Good for layering.
26-NECK-005,jewelry_photo_015.jpg,26-NECK-005.jpg,Necklace,Necklace - 26-NECK-005,Stunning necklace with intricate design elements. This piece combines modern style with timeless elegance for a truly special addition to your collection.,,,,,,,Active,Set of Interlocking Silver Bangles,$18.00 – $28.00,"""Russian Wedding Ring"" style bangles."
26-NECK-006,jewelry_photo_016.jpg,26-NECK-006.jpg,Necklace,Necklace - 26-NECK-006,"Elegant necklace featuring distinctive design and quality craftsmanship. This versatile piece adds sophistication to any outfit, perfect for both everyday wear and special occasions.",,,,,,,Active,Gold Bangle w/ Floral Enamel Face,$22.00 – $34.00,Vintage/Estate look. Very pretty detail.
26-NECK-007,jewelry_photo_017.jpg,26-NECK-007.jpg,Necklace,Necklace - 26-NECK-007,Statement necklace with eye-catching details. The unique design makes this piece a conversation starter while remaining timeless and elegant.,,,,,,,Active,Silver & Blue/Brown Bead Bracelet,$15.00 – $24.00,Chunky glass beads?
26-NECK-008,jewelry_photo_019.jpg,26-NECK-008.jpg,Necklace,Necklace - 26-NECK-008,Stunning necklace with intricate design elements. This piece combines modern style with timeless elegance for a truly special addition to your collection.,,,,,,,Active,Thin Silver Bangle,$12.00 – $18.00,Classic essential.
26-NECK-009,jewelry_photo_021.jpg,26-NECK-009.jpg,Necklace,Necklace - 26-NECK-009,Statement necklace with eye-catching details. The unique design makes this piece a conversation starter while remaining timeless and elegant.,,,,,,,Active,Gold Link/Tennis Bracelet,$18.00 – $28.00,Classic link style.
26-NECK-010,jewelry_photo_022.jpg,26-NECK-010.jpg,Necklace,Necklace - 26-NECK-010,Classic necklace showcasing beautiful metalwork and attention to detail. A wardrobe essential that effortlessly elevates any look.,,,,,,,Active,Silver Patterned Bangle,$15.00 – $25.00,Etched design adds value.
26-NECK-011,jewelry_photo_036.jpg,26-NECK-011.jpg,Necklace,Necklace - 26-NECK-011,"Elegant necklace featuring distinctive design and quality craftsmanship. This versatile piece adds sophistication to any outfit, perfect for both everyday wear and special occasions.",,,,,,,Active,Two-Tone (Black/Silver) Bangle,$18.00 – $28.00,Modern/Industrial look.
26-NECK-012,jewelry_photo_041.jpg,26-NECK-012.jpg,Necklace,Necklace - 26-NECK-012,Statement necklace with eye-catching details. The unique design makes this piece a conversation starter while remaining timeless and elegant.,,,,,,,Active,Pearl Bracelet w/ Crystal Spacers,$18.00 – $28.00,Bridal/Prom accessory. Stretch fit?
26-NECK-013,jewelry_photo_043.jpg,26-NECK-013.jpg,Necklace,Necklace - 26-NECK-013,Stunning necklace with intricate design elements. This piece combines modern style with timeless elegance for a truly special addition to your collection.,,,,,,,Active,Silver Pave Crystal Cuff,$20.00 – $30.00,Sparkly evening wear.
26-NECK-014,jewelry_photo_051.jpg,26-NECK-014.jpg,Necklace,Necklace - 26-NECK-014,Stunning necklace with intricate design elements. This piece combines modern style with timeless elegance for a truly special addition to your collection.,,,,,,,Active,Silver Charm/Chain Bracelet,$18.00 – $28.00,Messy chain look. Toggle clasp?
26-NECK-015,jewelry_photo_057.jpg,26-NECK-015.jpg,Necklace,Necklace - 26-NECK-015,Statement necklace with eye-catching details. The unique design makes this piece a conversation starter while remaining timeless and elegant.,,,,,,,Active,Silver Floral/Infinity Link Bracelet,$18.00 – $28.00,Traditional feminine style.
26-NECK-016,jewelry_photo_061.jpg,26-NECK-016.jpg,Necklace,Necklace - 26-NECK-016,Statement necklace with eye-catching details. The unique design makes this piece a conversation starter while remaining timeless and elegant.,,,,,,,Active,Simple Silver Open Cuff,$15.00 – $24.00,Adjustable fit. Minimalist.
26-NECK-017,jewelry_photo_066.jpg,26-NECK-017.jpg,Necklace,Necklace - 26-NECK-017,Classic necklace showcasing beautiful metalwork and attention to detail. A wardrobe essential that effortlessly elevates any look.,,,,,,,Active,Chunky Yellow/Amber Bead Necklace,$24.00 – $36.00,"""Pop of Color"" item. Good for spring/summer promos."
